"OBJECTID_1.N.10.0","OBJECTID.N.10.0","FID_1.N.10.0","Name.C.10","SDE_STATE_.N.19.8","ORIG_FID.N.10.0","Distance.N.19.8","Zip_Num.N.10.0","Shape_area.N.19.11","Shape_len.N.19.11","burg.counts","avg.burg.counts","zip.tot.area","num.zip.regions","Total.Exemptions","Total.Returns","Percent.agi1","Percent.agi2","Percent.agi3","Percent.agi4","Percent.agi5","Percent.agi6","Total.Income","X18.24.No.High.school.2015","X25..Less.than.9th.Grade.2015","X25..9th.12th.but.No.Diploma.2015","X25..No.Diploma.2015","X2015.Median.Family.Income","X2015.Poverty.All.Families","X2015.Families.no.husband","X2015.Housing.Units"
90,36,90,90716,0,8642,0,90716,26608182.8556,26139.9611157,0,0,26608182.8556,1,13830,5860,0.534129692832764,0.302047781569966,0.10580204778157,0.0341296928327645,0.0238907849829352,0,178162,NA,NA,NA,NA,NA,NA,NA,NA
91,15,92,90731,0,8646,0,90731,400618750.901,144461.905539,398,398,400618750.901,1,51570,26130,0.404515882127822,0.248373517030233,0.128970531955607,0.0807500956754688,0.116341370072713,0.0210486031381554,1362079,1442,4855,4592,9447,58422,0.173,0.335,24205
92,24,94,90744,0,8649,0,90744,244793211.229,97601.4951534,434,433.8,244904323.284192,2,52380,21700,0.511059907834101,0.284792626728111,0.104608294930876,0.0465437788018433,0.0488479262672811,0.00414746543778802,759573,1792,8449,5599,14048,40976,0.254,0.412,14847
93,43,95,90745,0,8650,0,90745,244172779.485,98439.5750817,5,5,244172779.485,1,56130,27020,0.401184307920059,0.259067357512953,0.144337527757217,0.0847520355292376,0.100296076980015,0.0103626943005181,1285944,812,4998,3907,8905,75111,0.094,0.168,15729
94,48,96,90747,0,8652,0,90747,15301642.6003,17208.7722577,0,0,15301642.6003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,30,97,90755,0,8653,0,90755,61660575.0023,59412.0460282,0,0,61660575.0023,1,11000,5780,0.321799307958477,0.235294117647059,0.155709342560554,0.105536332179931,0.136678200692042,0.0449826989619377,398272,NA,NA,NA,NA,NA,NA,NA,NA
96,12,98,90802,0,8654,0,90802,165859773.717,214661.956372,0,0,165859773.717,1,31550,19900,0.378894472361809,0.276381909547739,0.148743718592965,0.0829145728643216,0.0909547738693467,0.0221105527638191,1054046,NA,NA,NA,NA,NA,NA,NA,NA
97,11,99,90803,0,8655,0,90803,138454199.436,76957.745185,0,0,138454199.436,1,27230,17940,0.228539576365663,0.183389074693423,0.159420289855072,0.12263099219621,0.189520624303233,0.116499442586399,2081081,NA,NA,NA,NA,NA,NA,NA,NA
98,21,100,90804,0,8656,0,90804,59343650.4245,53300.7693676,0,0,59343650.4245,1,34040,17910,0.455053042992741,0.288665549972083,0.12786152987158,0.0619765494137353,0.0558347292015634,0.010608598548297,726033,NA,NA,NA,NA,NA,NA,NA,NA
99,35,101,90806,0,8658,0,90806,89629058.4087,61360.3841255,0,0,125454624.287349,4,39590,18060,0.496124031007752,0.27796234772979,0.105758582502769,0.0564784053156146,0.0570321151716501,0.00664451827242525,689343,NA,NA,NA,NA,NA,NA,NA,NA
100,41,102,90807,0,8659,0,90807,135494761.32,86068.5529158,0,0,135494761.32,1,30270,16240,0.297413793103448,0.220443349753695,0.158251231527094,0.105911330049261,0.16256157635468,0.0554187192118227,1245844,NA,NA,NA,NA,NA,NA,NA,NA
101,38,103,90810,0,8661,0,90810,192008513.771,89983.3286397,0,0,192008513.771,1,35930,16270,0.454210202827289,0.287645974185618,0.128457283343577,0.0676090964966195,0.057160417947142,0.00491702519975415,644055,NA,NA,NA,NA,NA,NA,NA,NA
102,20,104,90813,0,8662,0,90813,98355083.0473,75625.7818308,0,0,98355083.0473,1,50380,21420,0.605042016806723,0.283846872082166,0.0700280112044818,0.0247432306255836,0.0144724556489262,0.00186741363211951,580501,NA,NA,NA,NA,NA,NA,NA,NA
103,10,105,90814,0,8663,0,90814,37586906.0352,56060.5442989,0,0,37586906.0352,1,16220,10190,0.296368989205103,0.242394504416094,0.161923454367026,0.10107948969578,0.139352306182532,0.0588812561334642,753786,NA,NA,NA,NA,NA,NA,NA,NA
